X,Y,Z,Prefab,Projector,Filler
0.44138,0,-0.99514,tar,P1,NaN
0.26042,0,-1.0898,tar,P1,NaN
0.39663,0,-1.2794,tar,P1,NaN
0.55116,0,-1.5931,tar,P1,NaN
0.89881,0,-1.323,tar,P1,NaN
0.11677,0,-0.66725,tar,P1,NaN
0.67703,0,-0.62082,tar,P1,NaN
0.27335,0,-1.6412,tar,P1,NaN
0.94912,0,-0.86933,tar,P1,NaN
0.8003,0,-1.5742,tar,P1,NaN
0.39643,0,-0.7055,tar,P1,NaN
0.76827,0,0.28455,tar,P1,NaN
0.60324,0,-0.21189,tar,P1,NaN
0.65585,0,0.049592,tar,P1,NaN
0.91386,0,-0.14091,tar,P1,NaN
0.84396,0,0.59155,tar,P1,NaN
0.57327,0,0.62819,tar,P1,NaN
0.16931,0,0.59865,tar,P1,NaN
0.61974,0,-0.42976,tar,P1,NaN
0.82568,0,-0.37674,tar,P1,NaN
0.2681,0,0.3856,tar,P1,NaN
0.10834,0,-0.1853,tar,P1,NaN
0.18268,0,1.3173,tar,P1,NaN
0.47297,0,0.97898,tar,P1,NaN
1.0042,0,1.547,tar,P1,NaN
0.23,0,1.845,tar,P1,NaN
0.57135,0,1.792,tar,P1,NaN
0.79586,0,1.8939,tar,P1,NaN
0.072497,0,1.6106,tar,P1,NaN
0.77591,0,0.88703,tar,P1,NaN
0.56529,0,1.5608,tar,P1,NaN
0.14938,0,0.95085,tar,P1,NaN
0.31942,0,1.1286,tar,P1,NaN
-0.081662,0,1.3189,tar,P1,NaN
-0.142,0,0.98504,tar,P1,NaN
-0.20766,0,1.6464,tar,P1,NaN
-0.92693,0,1.4753,tar,P1,NaN
-0.40159,0,1.3099,tar,P1,NaN
-1.0096,0,0.86178,tar,P1,NaN
-0.6831,0,1.587,tar,P1,NaN
-0.66106,0,0.79857,tar,P1,NaN
-0.65239,0,1.1575,tar,P1,NaN
-0.829,0,1.0011,tar,P1,NaN
-0.97576,0,1.2721,tar,P1,NaN
-0.76138,0,0.29615,tar,P1,NaN
-0.10567,0,0.41538,tar,P1,NaN
-0.55151,0,0.31196,tar,P1,NaN
-0.75376,0,-0.35149,tar,P1,NaN
-1.0191,0,0.14291,tar,P1,NaN
-0.46401,0,-0.14452,tar,P1,NaN
-0.10126,0,0.15818,tar,P1,NaN
-0.22505,0,0.65637,tar,P1,NaN
-0.75528,0,0.078834,tar,P1,NaN
-0.60561,0,0.61745,tar,P1,NaN
-0.23279,0,-0.2882,tar,P1,NaN
-0.74326,0,-1.2004,tar,P1,NaN
-0.23163,0,-1.1338,tar,P1,NaN
-0.66122,0,-0.78201,tar,P1,NaN
-0.73334,0,-1.7123,tar,P1,NaN
-0.52576,0,-1.5497,tar,P1,NaN
-0.34373,0,-1.4041,tar,P1,NaN
-0.89988,0,-1.518,tar,P1,NaN
-0.38884,0,-0.81523,tar,P1,NaN
-0.1613,0,-0.61277,tar,P1,NaN
