X,Y,Z,Prefab,Projector,Filler,
0.73464,0,-1.6636,tar,P1,NaN,
0.17448,0,-0.6536,tar,P1,NaN,
0.19681,0,0.17472,tar,P1,NaN,
0.84123,0,-0.33773,tar,P1,NaN,
0.3485,0,1.8054,tar,P1,NaN,
0.089036,0,1.4338,tar,P1,NaN,
-0.15726,0,1.1403,tar,P1,NaN,
-0.47172,0,1.4653,tar,P1,NaN,
-0.22908,0,0.51345,tar,P1,NaN,
-0.97907,0,-0.30033,tar,P1,NaN,
-0.62699,0,-0.73491,tar,P1,NaN,
-0.81346,0,-1.5572,tar,P1,NaN,
0.58777,0,-1.6423,tar,P2,NaN,
0.83857,0,-1.033,tar,P2,NaN,
0.52197,0,0.40596,tar,P2,NaN,
0.20453,0,-0.32388,tar,P2,NaN,
0.81313,0,0.8881,tar,P2,NaN,
0.38764,0,1.3013,tar,P2,NaN,
-0.32894,0,1.6836,tar,P2,NaN,
-0.26456,0,0.76062,tar,P2,NaN,
-0.36447,0,0.29824,tar,P2,NaN,
-0.84302,0,-0.00015431,tar,P2,NaN,
-0.87279,0,-1.1088,tar,P2,NaN,
-0.88303,0,-1.429,tar,P2,NaN,
0.80273,0,-1.5769,tar,P3,NaN,
0.089535,0,-1.5699,tar,P3,NaN,
1.0221,0,0.27163,tar,P3,NaN,
0.65115,0,0.43966,tar,P3,NaN,
0.41512,0,1.249,tar,P3,NaN,
0.86098,0,1.5792,tar,P3,NaN,
-0.574,0,0.90756,tar,P3,NaN,
-1.0192,0,0.67228,tar,P3,NaN,
-0.9368,0,0.28276,tar,P3,NaN,
-0.22835,0,-0.094972,tar,P3,NaN,
-0.43471,0,-1.1877,tar,P3,NaN,
-0.23393,0,-1.1621,tar,P3,NaN,
0.73464,0,-1.6636,tar,P1,NaN,
0.17448,0,-0.6536,tar,P1,NaN,
0.19681,0,0.17472,tar,P1,NaN,
0.84123,0,-0.33773,tar,P1,NaN,
0.3485,0,1.8054,tar,P1,NaN,
0.089036,0,1.4338,tar,P1,NaN,
-0.15726,0,1.1403,tar,P1,NaN,
-0.47172,0,1.4653,tar,P1,NaN,
-0.22908,0,0.51345,tar,P1,NaN,
-0.97907,0,-0.30033,tar,P1,NaN,
-0.62699,0,-0.73491,tar,P1,NaN,
-0.81346,0,-1.5572,tar,P1,NaN,
0.58777,0,-1.6423,tar,P2,NaN,
0.83857,0,-1.033,tar,P2,NaN,
0.52197,0,0.40596,tar,P2,NaN,
0.20453,0,-0.32388,tar,P2,NaN,
0.81313,0,0.8881,tar,P2,NaN,
0.38764,0,1.3013,tar,P2,NaN,
-0.32894,0,1.6836,tar,P2,NaN,
-0.26456,0,0.76062,tar,P2,NaN,
-0.36447,0,0.29824,tar,P2,NaN,
-0.84302,0,-0.00015431,tar,P2,NaN,
-0.87279,0,-1.1088,tar,P2,NaN,
-0.88303,0,-1.429,tar,P2,NaN,
0.80273,0,-1.5769,tar,P3,NaN,
0.089535,0,-1.5699,tar,P3,NaN,
1.0221,0,0.27163,tar,P3,NaN,
0.65115,0,0.43966,tar,P3,NaN,
0.41512,0,1.249,tar,P3,NaN,
0.86098,0,1.5792,tar,P3,NaN,
-0.574,0,0.90756,tar,P3,NaN,
-1.0192,0,0.67228,tar,P3,NaN,
-0.9368,0,0.28276,tar,P3,NaN,
-0.22835,0,-0.094972,tar,P3,NaN,
-0.43471,0,-1.1877,tar,P3,NaN,
-0.23393,0,-1.1621,tar,P3,NaN,
0.73464,0,-1.6636,tar,P1,NaN,
0.17448,0,-0.6536,tar,P1,NaN,
0.19681,0,0.17472,tar,P1,NaN,
0.84123,0,-0.33773,tar,P1,NaN,
0.3485,0,1.8054,tar,P1,NaN,
0.089036,0,1.4338,tar,P1,NaN,
-0.15726,0,1.1403,tar,P1,NaN,
-0.47172,0,1.4653,tar,P1,NaN,
-0.22908,0,0.51345,tar,P1,NaN,
-0.97907,0,-0.30033,tar,P1,NaN,
-0.62699,0,-0.73491,tar,P1,NaN,
-0.81346,0,-1.5572,tar,P1,NaN,
0.58777,0,-1.6423,tar,P2,NaN,
0.83857,0,-1.033,tar,P2,NaN,
0.52197,0,0.40596,tar,P2,NaN,
0.20453,0,-0.32388,tar,P2,NaN,
0.81313,0,0.8881,tar,P2,NaN,
0.38764,0,1.3013,tar,P2,NaN,
-0.32894,0,1.6836,tar,P2,NaN,
-0.26456,0,0.76062,tar,P2,NaN,
-0.36447,0,0.29824,tar,P2,NaN,
-0.84302,0,-0.00015431,tar,P2,NaN,
-0.87279,0,-1.1088,tar,P2,NaN,
-0.88303,0,-1.429,tar,P2,NaN,
0.80273,0,-1.5769,tar,P3,NaN,
0.089535,0,-1.5699,tar,P3,NaN,
1.0221,0,0.27163,tar,P3,NaN,
0.65115,0,0.43966,tar,P3,NaN,
0.41512,0,1.249,tar,P3,NaN,
0.86098,0,1.5792,tar,P3,NaN,
-0.574,0,0.90756,tar,P3,NaN,
-1.0192,0,0.67228,tar,P3,NaN,
-0.9368,0,0.28276,tar,P3,NaN,
-0.22835,0,-0.094972,tar,P3,NaN,
-0.43471,0,-1.1877,tar,P3,NaN,
-0.23393,0,-1.1621,tar,P3,NaN,
0.73464,0,-1.6636,tar,P1,NaN,
0.17448,0,-0.6536,tar,P1,NaN,
0.19681,0,0.17472,tar,P1,NaN,
0.84123,0,-0.33773,tar,P1,NaN,
0.3485,0,1.8054,tar,P1,NaN,
0.089036,0,1.4338,tar,P1,NaN,
-0.15726,0,1.1403,tar,P1,NaN,
-0.47172,0,1.4653,tar,P1,NaN,
-0.22908,0,0.51345,tar,P1,NaN,
-0.97907,0,-0.30033,tar,P1,NaN,
-0.62699,0,-0.73491,tar,P1,NaN,
-0.81346,0,-1.5572,tar,P1,NaN,
0.58777,0,-1.6423,tar,P2,NaN,
0.83857,0,-1.033,tar,P2,NaN,
0.52197,0,0.40596,tar,P2,NaN,
0.20453,0,-0.32388,tar,P2,NaN,
0.81313,0,0.8881,tar,P2,NaN,
0.38764,0,1.3013,tar,P2,NaN,
-0.32894,0,1.6836,tar,P2,NaN,
-0.26456,0,0.76062,tar,P2,NaN,
-0.36447,0,0.29824,tar,P2,NaN,
-0.84302,0,-0.00015431,tar,P2,NaN,
-0.87279,0,-1.1088,tar,P2,NaN,
-0.88303,0,-1.429,tar,P2,NaN,
0.80273,0,-1.5769,tar,P3,NaN,
0.089535,0,-1.5699,tar,P3,NaN,
1.0221,0,0.27163,tar,P3,NaN,
0.65115,0,0.43966,tar,P3,NaN,
0.41512,0,1.249,tar,P3,NaN,
0.86098,0,1.5792,tar,P3,NaN,
-0.574,0,0.90756,tar,P3,NaN,
-1.0192,0,0.67228,tar,P3,NaN,
-0.9368,0,0.28276,tar,P3,NaN,
-0.22835,0,-0.094972,tar,P3,NaN,
-0.43471,0,-1.1877,tar,P3,NaN,
-0.23393,0,-1.1621,tar,P3,NaN,
0.73464,0,-1.6636,tar,P1,NaN,
0.17448,0,-0.6536,tar,P1,NaN,
0.19681,0,0.17472,tar,P1,NaN,
0.84123,0,-0.33773,tar,P1,NaN,
0.3485,0,1.8054,tar,P1,NaN,
0.089036,0,1.4338,tar,P1,NaN,
-0.15726,0,1.1403,tar,P1,NaN,
-0.47172,0,1.4653,tar,P1,NaN,
-0.22908,0,0.51345,tar,P1,NaN,
-0.97907,0,-0.30033,tar,P1,NaN,
-0.62699,0,-0.73491,tar,P1,NaN,
-0.81346,0,-1.5572,tar,P1,NaN,
0.58777,0,-1.6423,tar,P2,NaN,
0.83857,0,-1.033,tar,P2,NaN,
0.52197,0,0.40596,tar,P2,NaN,
0.20453,0,-0.32388,tar,P2,NaN,
0.81313,0,0.8881,tar,P2,NaN,
0.38764,0,1.3013,tar,P2,NaN,
-0.32894,0,1.6836,tar,P2,NaN,
-0.26456,0,0.76062,tar,P2,NaN,
-0.36447,0,0.29824,tar,P2,NaN,
-0.84302,0,-0.00015431,tar,P2,NaN,
-0.87279,0,-1.1088,tar,P2,NaN,
-0.88303,0,-1.429,tar,P2,NaN,
0.80273,0,-1.5769,tar,P3,NaN,
0.089535,0,-1.5699,tar,P3,NaN,
1.0221,0,0.27163,tar,P3,NaN,
0.65115,0,0.43966,tar,P3,NaN,
0.41512,0,1.249,tar,P3,NaN,
0.86098,0,1.5792,tar,P3,NaN,
-0.574,0,0.90756,tar,P3,NaN,
-1.0192,0,0.67228,tar,P3,NaN,
-0.9368,0,0.28276,tar,P3,NaN,
-0.22835,0,-0.094972,tar,P3,NaN,
-0.43471,0,-1.1877,tar,P3,NaN,
-0.23393,0,-1.1621,tar,P3,NaN,
0.73464,0,-1.6636,tar,P1,NaN,
0.17448,0,-0.6536,tar,P1,NaN,
0.19681,0,0.17472,tar,P1,NaN,
0.84123,0,-0.33773,tar,P1,NaN,
0.3485,0,1.8054,tar,P1,NaN,
0.089036,0,1.4338,tar,P1,NaN,
-0.15726,0,1.1403,tar,P1,NaN,
-0.47172,0,1.4653,tar,P1,NaN,
-0.22908,0,0.51345,tar,P1,NaN,
-0.97907,0,-0.30033,tar,P1,NaN,
-0.62699,0,-0.73491,tar,P1,NaN,
-0.81346,0,-1.5572,tar,P1,NaN,
0.58777,0,-1.6423,tar,P2,NaN,
0.83857,0,-1.033,tar,P2,NaN,
0.52197,0,0.40596,tar,P2,NaN,
0.20453,0,-0.32388,tar,P2,NaN,
0.81313,0,0.8881,tar,P2,NaN,
0.38764,0,1.3013,tar,P2,NaN,
-0.32894,0,1.6836,tar,P2,NaN,
-0.26456,0,0.76062,tar,P2,NaN,
-0.36447,0,0.29824,tar,P2,NaN,
-0.84302,0,-0.00015431,tar,P2,NaN,
-0.87279,0,-1.1088,tar,P2,NaN,
-0.88303,0,-1.429,tar,P2,NaN,
0.80273,0,-1.5769,tar,P3,NaN,
0.089535,0,-1.5699,tar,P3,NaN,
1.0221,0,0.27163,tar,P3,NaN,
0.65115,0,0.43966,tar,P3,NaN,
0.41512,0,1.249,tar,P3,NaN,
0.86098,0,1.5792,tar,P3,NaN,
-0.574,0,0.90756,tar,P3,NaN,
-1.0192,0,0.67228,tar,P3,NaN,
-0.9368,0,0.28276,tar,P3,NaN,
-0.22835,0,-0.094972,tar,P3,NaN,
-0.43471,0,-1.1877,tar,P3,NaN,
-0.23393,0,-1.1621,tar,P3,NaN,
